time , step-size , {uavCont}.controller.pitchOut , {uavCont}.controller.rollOut , {uavCont}.controller.throttleOut , {uavCont}.controller.yawOut , {uavCont}.controller2.pitchOut , {uavCont}.controller2.rollOut , {uavCont}.controller2.throttleOut , {uavCont}.controller2.yawOut , {uavCont}.controller3.pitchOut , {uavCont}.controller3.rollOut , {uavCont}.controller3.throttleOut , {uavCont}.controller3.yawOut , {uavCont}.controller4.pitchOut , {uavCont}.controller4.rollOut , {uavCont}.controller4.throttleOut , {uavCont}.controller4.yawOut , {uavCont}.controller5.pitchOut , {uavCont}.controller5.rollOut , {uavCont}.controller5.throttleOut , {uavCont}.controller5.yawOut , {uavGlobalCont}.global.uav1TargetX , {uavGlobalCont}.global.uav1TargetY , {uavGlobalCont}.global.uav1TargetZ , {uavGlobalCont}.global.uav2TargetX , {uavGlobalCont}.global.uav2TargetY , {uavGlobalCont}.global.uav2TargetZ , {uavGlobalCont}.global.uav3TargetX , {uavGlobalCont}.global.uav3TargetY , {uavGlobalCont}.global.uav3TargetZ , {uavGlobalCont}.global.uav4TargetX , {uavGlobalCont}.global.uav4TargetY , {uavGlobalCont}.global.uav4TargetZ , {uavGlobalCont}.global.uav5TargetX , {uavGlobalCont}.global.uav5TargetY , {uavGlobalCont}.global.uav5TargetZ , {uav}.uav.batteryCharge , {uav}.uav.currentYaw , {uav}.uav.posX , {uav}.uav.posY , {uav}.uav.posZ , {uav}.uav.velX , {uav}.uav.velY , {uav}.uav.velZ , {uav}.uav2.currentYaw , {uav}.uav2.posX , {uav}.uav2.posY , {uav}.uav2.posZ , {uav}.uav2.velX , {uav}.uav2.velY , {uav}.uav2.velZ , {uav}.uav3.batteryCharge , {uav}.uav3.currentYaw , {uav}.uav3.posX , {uav}.uav3.posY , {uav}.uav3.posZ , {uav}.uav3.velX , {uav}.uav3.velY , {uav}.uav3.velZ , {uav}.uav4.batteryCharge , {uav}.uav4.currentYaw , {uav}.uav4.posX , {uav}.uav4.posY , {uav}.uav4.posZ , {uav}.uav4.velX , {uav}.uav4.velY , {uav}.uav4.velZ , {uav}.uav5.batteryCharge , {uav}.uav5.currentYaw , {uav}.uav5.posX , {uav}.uav5.posY , {uav}.uav5.posZ , {uav}.uav5.velX , {uav}.uav5.velY , {uav}.uav5.velZ
0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.5 , 0.0 , 0.0 , 0.0
2.0E-6 , 2.0E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
4.0E-6 , 2.0E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
6.0E-6 , 2.0000000000000003E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
8.0E-6 , 1.9999999999999995E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
1.0E-5 , 2.000000000000001E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
1.2E-5 , 1.9999999999999995E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
1.4E-5 , 1.9999999999999995E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
1.6E-5 , 1.9999999999999995E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
1.8E-5 , 2.000000000000001E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
2.0E-5 , 2.000000000000001E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
2.2E-5 , 1.999999999999998E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
2.4E-5 , 2.000000000000001E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
2.6E-5 , 1.999999999999998E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
2.8E-5 , 2.000000000000001E-6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875 , 6480.0 , 0.0 , 5.0 , 5.0 , 0.4995095 , 0.0 , 0.0 , -0.09809879704875
